Date,Section,Title,Sentiment Score,Sentiment Interpretation,Web url
31/10/2024,Business,Rachel Reeves’s most irritating manifesto fudge: private equity’s tax loophole | Nils Pratley,0.9835,Positive,https://www.theguardian.com/business/nils-pratley-on-finance/2024/oct/31/rachel-reeves-most-irritating-manifesto-fudge-private-equitys-tax-loophole
31/10/2024,Business,How private equity convinced Labour to go easy on its multimillion pound tax perk,0.9993,Positive,https://www.theguardian.com/business/2024/oct/31/how-private-equity-convinced-labour-to-go-easy-on-its-multimillion-pound-tax-perk
31/10/2024,Business,UK’s borrowing costs rise as Reeves’s budget prompts fears of slower interest rate cuts,0.9083,Positive,https://www.theguardian.com/business/2024/oct/31/uks-borrowing-costs-rise-as-reevess-budget-prompts-fears-of-slower-interest-rate-cuts
31/10/2024,Business,Stellantis reports slump in car sales as European demand falls,-0.8934,Negative,https://www.theguardian.com/business/2024/oct/31/stellantis-sell-fewer-cars-lower-demand-europe-electric
31/10/2024,Business,Volvo Cars to buy out Northvolt from jointly owned gigafactory in Sweden,0.9935,Positive,https://www.theguardian.com/business/2024/oct/31/volvo-cars-buy-out-northvolt-gigafactory-sweden-electric-car-battery-technologies
31/10/2024,Business,Shell calls for certainty over North Sea future after UK raises windfall tax on energy profits,0.996,Positive,https://www.theguardian.com/business/2024/oct/31/shell-investments-in-renewable-energy-drop-spending-budget
31/10/2024,Business,"US inflation falls to 2.1%, almost hitting Federal Reserve target",-0.1531,Negative,https://www.theguardian.com/business/2024/oct/31/us-inflation-report
31/10/2024,Business,Lloyds shareholders could take £1bn hit over car finance crisis,-0.7481,Negative,https://www.theguardian.com/business/2024/oct/31/lloyds-shareholders-could-take-hit-over-car-finance-crisis
31/10/2024,Business,"Reeves’s £40bn tax rises will boost growth ‘sustainably’, says IMF",0.9811,Positive,https://www.theguardian.com/business/2024/oct/31/reeves-tax-rises-will-boost-growth-sustainably-says-imf
31/10/2024,Business,Could you be entitled to a payout after court ruling on car finance?,0.9901,Positive,https://www.theguardian.com/business/2024/oct/31/car-finance-payouts-commission-payments-court-ruling
31/10/2024,Business,Woolworths employee on $26 an hour confronts board at AGM over millions paid to executives,0.9836,Positive,https://www.theguardian.com/business/2024/oct/31/woolworths-employee-confronts-board-agm-executives-salaries
31/10/2024,Business,"Optus sold vulnerable Australian customers phone plans they couldn’t afford, ACCC alleges",0.7435,Positive,https://www.theguardian.com/business/2024/oct/31/optus-accc-unconscionable-conduct-claims-indigenous-customers
13/10/2024,Business,"Rachel Reeves must keep promise to ease business rates burden, say retailers",0.9238,Positive,https://www.theguardian.com/business/2024/oct/14/rachel-reeves-must-keep-promise-ease-business-rates-burden-retailers
13/10/2024,Business,Spanish shipbuilder Navantia in exclusive talks to buy Harland & Wolff,0.9795,Positive,https://www.theguardian.com/business/2024/oct/13/spanish-shipbuilder-navantia-in-exclusive-negotiations-to-buy-harland-wolff
13/10/2024,Business,Labour push for growth spurs Sky appeal against block on film studios expansion,0.2846,Positive,https://www.theguardian.com/business/2024/oct/13/labour-push-for-growth-spurs-sky-appeal-against-block-on-film-studios-expansion
13/10/2024,Business,Labour’s new green rules for big companies face resistance in the City,0.9934,Positive,https://www.theguardian.com/business/2024/oct/13/labours-new-green-rules-for-big-companies-face-resistance-in-the-city
13/10/2024,Business,China’s plan to boost flagging growth is the very definition of economic insanity | George Magnus,0.9919,Positive,https://www.theguardian.com/business/2024/oct/13/chinas-plan-to-boost-flagging-growth-is-the-very-definition-of-economic-insanity
13/10/2024,Business,Labour’s challenge is complicated by the triumph of finance. That’s bad news for UK plc | Larry Elliott,0.9885,Positive,https://www.theguardian.com/business/2024/oct/13/labours-economic-challenge-isnt-simple-it-must-curb-city-power-and-keep-it-on-board
13/10/2024,Business,"P&O Ferries not rogue, says business secretary after cabinet rift",0.8804,Positive,https://www.theguardian.com/business/2024/oct/13/p-and-o-ferries-not-rogue-says-business-secretary-after-cabinet-rift
13/10/2024,Business,‘Very concerning’: BP dilutes net zero targets as global retreat from green standards gathers pace,0.9959,Positive,https://www.theguardian.com/business/2024/oct/13/very-concerning-bp-dilutes-net-zero-targets-as-global-retreat-from-green-standards-gathers-pace
13/10/2024,Business,The EU needs Britain as much as Britain needs it. Where is Starmer’s solidarity? | William Keegan,-0.3954,Negative,https://www.theguardian.com/business/2024/oct/13/the-eu-needs-britain-as-much-as-britain-needs-it-where-is-starmers-solidarity
05/10/2024,Business,Less haste more speed will win Labour the race to fix 21st-century Britain,0.9731,Positive,https://www.theguardian.com/business/2024/oct/05/less-haste-more-speed-will-win-labour-the-race-to-fix-21st-century-britain
05/10/2024,Business,"British food firms lobbied to defer £1.7bn plastic packaging tax, documents reveal ",0.6428,Positive,https://www.theguardian.com/business/2024/oct/05/british-food-firms-lobbied-to-defer-17bn-plastic-packaging-tax-documents-reveal
05/10/2024,Business,Travel industry’s hopes soar despite fears about overtourism,0.9904,Positive,https://www.theguardian.com/business/2024/oct/05/travel-industrys-hopes-soar-despite-fears-about-overtourism
05/10/2024,Business,Superdry boss: ‘Shein should pay tax in a fair way or there will be UK bankruptcies’,0.9976,Positive,https://www.theguardian.com/business/2024/oct/05/superdry-boss-julian-dunkerton-brexit
17/10/2024,Business,Netflix to double profits after adding millions of subscribers in three months,0.9902,Positive,https://www.theguardian.com/business/2024/oct/17/netflix-profits-double-subscriber-growth
17/10/2024,Business,"New ‘buy now, pay later’ rules to protect UK shoppers from 2026",0.9944,Positive,https://www.theguardian.com/business/2024/oct/17/new-buy-now-pay-later-rules-to-protect-uk-shoppers-from-2026
17/10/2024,Business,ECB cuts interest rates to support flagging eurozone economy,0.9736,Positive,https://www.theguardian.com/business/2024/oct/17/european-central-bank-cuts-interest-rates-inflation-falls-below-2-percent-eurozone
17/10/2024,Business,"Hike in capital gains tax will spark tech exodus from UK, investor says",0.9976,Positive,https://www.theguardian.com/business/2024/oct/17/capital-gains-tax-tech-entrepreneurs-exodus-uk-investor
17/10/2024,Business,This woodworker perfected her craft during a summer of racial justice protest,0.9978,Positive,https://www.theguardian.com/business/2024/oct/17/she-slangs-wood-woodworking-milwaukee
17/10/2024,Business,Paul Johnson to leave influential IFS economics thinktank,0.9948,Positive,https://www.theguardian.com/business/2024/oct/17/ifs-paul-johnson-institute-for-fiscal-studies-thinktank
17/10/2024,Business,Simply Be owner N Brown agrees £191m takeover by founding Alliance family member,0.9868,Positive,https://www.theguardian.com/business/2024/oct/17/fashion-retailer-n-brown-agrees-191m-takeover-founding-alliance-family-member
17/10/2024,Business,US group Advent International ‘preparing bid for Tate & Lyle’,0.9788,Positive,https://www.theguardian.com/business/2024/oct/16/us-group-advent-international-preparing-bid-for-tate-lyle
17/10/2024,Business,‘Shop like our nan!’ Call for supermarket ban on plastic packaging for fresh goods ,-0.9819,Negative,https://www.theguardian.com/business/2024/oct/17/shop-like-our-nan-call-for-supermarket-ban-on-plastic-packaging-for-fresh-goods
17/10/2024,Business,Here’s a rabbit for the chancellor’s hat: scrap stamp duty on shares | Nils Pratley,0.9875,Positive,https://www.theguardian.com/business/nils-pratley-on-finance/2024/oct/17/heres-a-rabbit-for-the-chancellors-hat-scrap-stamp-duty-on-shares
17/10/2024,Business,Strong Australian jobs figures lower expectations of pre-Christmas interest rate cut,0.7612,Positive,https://www.theguardian.com/business/2024/oct/17/australia-unemployment-rate-september-2024-rba-interest-rates
26/10/2024,Business,Qantas’ tumultuous era might be behind it – but some say Alan Joyce’s ghost still lingers ,-0.9589,Negative,https://www.theguardian.com/business/2024/oct/27/qantas-financial-results-agm-profits-shares
26/10/2024,Business,Ministers urged to cut ties with P&O Ferries owner over links to Russia ,0.7362,Positive,https://www.theguardian.com/business/2024/oct/26/p-and-o-ferries-owner-dp-world-russia-links
26/10/2024,Business,The sickness trap: how Barnsley has tried to fight back against worklessness,0.9858,Positive,https://www.theguardian.com/business/2024/oct/26/the-sickness-trap-how-barnsley-has-tried-to-fight-back-against-worklessness
26/10/2024,Business,John Lewis opens new-look beauty hall as temples of pampering return to high street,0.9986,Positive,https://www.theguardian.com/business/2024/oct/26/john-lewis-opens-new-look-beauty-hall-as-temples-of-pampering-return-to-high-street
